   8.4464137276808138e-01  -5.6452364649632006e-02   0.0000000000000000e+00  -3.5700537815832607e-02  -1.4036844860491308e-02   2.1171331948224546e-02   2.7436829657597470e+00
   8.4477498708447585e-01  -5.6802396293157940e-02   0.0000000000000000e+00  -3.5940828688067847e-02  -1.4168545868352285e-02   2.5383646928187158e-02   2.7439813091194543e+00
   1.0832322526925622e+00   5.8735464542703605e-02   0.0000000000000000e+00  -1.7456017400238913e-01  -4.1317281251579996e-01   2.5762342004935318e-01   5.9667617588555002e+00
   1.1067537524198463e+00   8.6160612566626257e-02   0.0000000000000000e+00  -1.1012605381103720e-01  -4.1838451081979394e-01   2.2193640816039989e-01   3.2286806845623923e+00
   1.1262223783505287e+00   1.1995477617865678e-01   0.0000000000000000e+00  -5.4786581713996710e-02  -4.2676180843083783e-01   1.9936330503536515e-01   3.4653306226996090e+00
   9.1240327619219841e-01   1.5558474217523722e-02   0.0000000000000000e+00   4.0822775501805658e-01   2.3174980805521037e-01   3.7046423350929519e-01   2.9879277636035115e+00
   9.1166165251185804e-01   1.5488778612526326e-02   0.0000000000000000e+00   4.0600082042556168e-01   2.3362666731560583e-01   3.6856940790713494e-01   2.9965769905315183e+00
   9.1107431348829082e-01   1.5431045687291849e-02   0.0000000000000000e+00   4.0425326574074227e-01   2.3510016265729178e-01   3.6709037366553293e-01   3.0034206898717803e+00
   9.1043584483145468e-01   1.5365760808390531e-02   0.0000000000000000e+00   4.0236983500703016e-01   2.3668900250709865e-01   3.6550440826864250e-01   3.0108639618649424e+00
   9.0955628482138917e-01   1.5271474941588158e-02   0.0000000000000000e+00   3.9980250233810039e-01   2.3885639397148054e-01   3.6335587259561120e-01   3.0211229264311195e+00
   9.0898190755570452e-01   1.5207235622053930e-02   0.0000000000000000e+00   3.9814203669049192e-01   2.4025888088404140e-01   3.6197489793761689e-01   3.0278182655009140e+00
   9.0830584675866533e-01   1.5128777040875068e-02   0.0000000000000000e+00   3.9620502631371113e-01   2.4189667745829493e-01   3.6037155030947698e-01   3.0357081034716789e+00
   9.0753371460136334e-01   1.5035521528568520e-02   0.0000000000000000e+00   3.9401418897911911e-01   2.4375068714236955e-01   3.5856896730527327e-01   3.0447213411940668e+00
   9.0664873102988675e-01   1.4923840063326362e-02   0.0000000000000000e+00   3.9153070579067278e-01   2.4585462448483761e-01   3.5653965048600511e-01   3.0550551406650697e+00
   9.0569958151650432e-01   1.4798362618562834e-02   0.0000000000000000e+00   3.8889906542643482e-01   2.4808691957630649e-01   3.5440574860022245e-01   3.0661412360908140e+00
   9.0494222991011142e-01   1.4693951597608034e-02   0.0000000000000000e+00   3.8682257590734459e-01   2.4985079105171853e-01   3.5273373669806174e-01   3.0749891116795500e+00
   9.0401235791566292e-01   1.4560533592077469e-02   0.0000000000000000e+00   3.8430126190374542e-01   2.5199583687436306e-01   3.5071753164730313e-01   3.0858612205763993e+00
   9.0319837685314208e-01   1.4438979681289946e-02   0.0000000000000000e+00   3.8211895159634579e-01   2.5385564473999006e-01   3.4898475451038091e-01   3.0953815276741632e+00
   9.0243780630535919e-01   1.4321452145529379e-02   0.0000000000000000e+00   3.8009999914669995e-01   2.5557866674254226e-01   3.4739245664603530e-01   3.1042798843092130e+00
   9.0151794031764398e-01   1.4174125634148356e-02   0.0000000000000000e+00   3.7768424791324567e-01   2.5764401865955910e-01   3.4550043390893281e-01   3.1150489186290118e+00
   9.0067645303825306e-01   1.4034376047202830e-02   0.0000000000000000e+00   3.7549851800369771e-01   2.5951627024545365e-01   3.4380115238780445e-01   3.1249031714898527e+00
   8.9999806165845608e-01   1.3918178689299001e-02   0.0000000000000000e+00   3.7375334442217262e-01   2.6101405124177701e-01   3.4245262789389719e-01   3.1328521139401544e+00
   8.9923309262513129e-01   1.3783473562194896e-02   0.0000000000000000e+00   3.7180286320368366e-01   2.6269071746570449e-01   3.4095481835010644e-01   3.1418198569905083e+00
   8.9832826340479466e-01   1.3619036020719866e-02   0.0000000000000000e+00   3.6951929454563087e-01   2.6465773483919258e-01   3.3921355881323018e-01   3.1524322336569317e+00
   8.9744164908127733e-01   1.3452494138017690e-02   0.0000000000000000e+00   3.6730603471335976e-01   2.6656868370432818e-01   3.3753852239942445e-01   3.1628358828469700e+00
   8.9650023113466260e-01   1.3269831912045863e-02   0.0000000000000000e+00   3.6498170638115590e-01   2.6858031616884243e-01   3.3579316066648668e-01   3.1738882026922668e+00
   8.9572615399468447e-01   1.3115041973773039e-02   0.0000000000000000e+00   3.6309035776723603e-01   2.7022140922591675e-01   3.3438291871841536e-01   3.1829810659747277e+00
   8.9484815632539672e-01   1.2934531934773849e-02   0.0000000000000000e+00   3.6096619941173047e-01   2.7206883438606594e-01   3.3281029192331835e-01   3.1933012245323891e+00
   8.9388398102899613e-01   1.2730227097193429e-02   0.0000000000000000e+00   3.5865877450719175e-01   2.7408107972574941e-01   3.3111547877367076e-01   3.2046399945603961e+00
   8.9317560655502104e-01   1.2575999840322222e-02   0.0000000000000000e+00   3.5698016835830670e-01   2.7554888274883249e-01   3.2989117154865255e-01   3.2129740910507674e+00
   8.9250152046504694e-01   1.2426039998884314e-02   0.0000000000000000e+00   3.5539577110879578e-01   2.7693731357279483e-01   3.2874246837010052e-01   3.2209092683215963e+00
   8.9172664128728263e-01   1.2249743110579810e-02   0.0000000000000000e+00   3.5359008346574233e-01   2.7852358126740118e-01   3.2744127143087443e-01   3.2300372612667756e+00
