   8.2999999999999996e-01   0.0000000000000000e+00   1.1406266554912500e-01   0.0000000000000000e+00   2.2938934916745299e-01   0.0000000000000000e+00   2.7873289351805202e+00
   8.2975348587853504e-01  -2.5512746418276629e-04   1.1247599434733105e-01  -2.1420131067470928e-04   2.2788345702468862e-01   4.1247047416054098e-04   2.7874798688682332e+00
   8.2951459003950867e-01  -1.4428201317133074e-03   1.1087534587674200e-01  -1.2086529494645959e-03   2.2633555111331388e-01   2.3301697504281684e-03   2.7875356404707206e+00
   8.2928526862275953e-01  -2.6647496395694227e-03   1.0925663589116272e-01  -2.2274663736315229e-03   2.2473567107496131e-01   4.2986201614456741e-03   2.7875010348049702e+00
   8.2906396863218934e-01  -3.7793871280199258e-03   1.0762223009905135e-01  -3.1526983178690460e-03   2.2309007425635671e-01   6.0889688893618968e-03   2.7873806000378187e+00
   8.2885274864037861e-01  -4.9723481514685700e-03   1.0596741949402574e-01  -4.1396948760939016e-03   2.2138761547977365e-01   7.9998837527243787e-03   2.7871786225438346e+00
   8.2865374527174851e-01  -6.2854640378047040e-03   1.0428754775480298e-01  -5.2230928128642485e-03   2.1961679401817544e-01   1.0097334663140523e-02   2.7868991714483218e+00
   8.2846174930019911e-01  -7.4721440760133432e-03   1.0259188365926515e-01  -6.1981096334347893e-03   2.1780147689493770e-01   1.1983951644188747e-02   2.7865460596172196e+00
   8.2827903244810697e-01  -8.6515775811771764e-03   1.0087548359448585e-01  -7.1642620705218560e-03   2.1592963128955997e-01   1.3850658384404052e-02   2.7861229257384368e+00
   8.2810642036182880e-01  -9.8446767879570175e-03   9.9136118053120642e-02  -8.1391192447772577e-03   2.1399601937138618e-01   1.5729930052516078e-02   2.7856332067511724e+00
   8.2794327963668868e-01  -1.1028244994793096e-02   9.7374377176844995e-02  -9.1037399219245155e-03   2.1200260051546199e-01   1.7583490703766448e-02   2.7850801596872339e+00
